1 100
94
100 15 12
200 1 6 0
200 2 3 0
200 1 10 0
200 2 7 0
200 1 1 0
200 2 5 0
200 1 4 0
200 2 3 0
200 1 11 0
200 2 5 5
200 1 10 0
300 2 0 0
200 1 5 0
200 2 2 0
200 1 1 0
200 2 4 0
200 1 3 0
200 2 8 0
200 1 10 0
200 2 8 5
200 1 5 0
200 2 1 0
200 1 9 5
200 2 2 0
200 1 12 5
200 2 5 10
200 1 6 10
200 2 12 0
200 1 12 0
300 2 0 0
200 1 10 0
200 2 3 0
300 1 9 6
200 2 5 5
200 1 9 0
400 1 20 19
200 2 5 0
200 1 10 0
200 2 9 0
200 1 0 0
200 2 4 5
200 1 1 0
200 2 11 5
200 1 2 0
200 2 4 0
200 1 0 0
200 2 6 0
200 1 12 0
200 2 12 0
200 1 5 0
200 2 7 0
200 1 1 10
300 2 12 0
200 1 12 0
200 2 4 5
200 1 11 0
200 2 9 0
200 1 9 11
200 2 1 5
200 1 3 0
400 1 30 26
200 2 5 0
200 1 5 0
200 2 2 0
200 1 6 0
300 2 1 0
200 1 1 0
200 2 1 0
200 1 9 0
200 2 3 0
300 1 10 0
400 1 45 35
200 2 11 0
200 1 11 0
200 2 11 0
300 1 8 0
300 2 13 0
200 1 7 5
200 2 8 0
200 1 12 0
200 2 7 0
200 1 9 0
400 1 49 50
200 2 7 6
200 1 0 14
200 2 1 5
200 1 0 0
200 2 0 0
200 1 9 0
200 2 8 10
200 1 11 0
200 2 3 0
400 0 37 39
